"idBank";"Dernière mise à jour";"Types d'indices de salaires";"﻿Base de l'indice";"Correction";"Zone géographique";"Nature";"Indicateur";"Unité";"Puissance";"Activité";"Périodicité"
"010562679";"08/12/2023 09:27";"Indice des salaires mensuels de base";"2ème trimestre de 2017";"Non corrigé";"France hors Mayotte";"Indice";"Indices de salaire dans le secteur privé";"sans objet";"0";"A38-JC - Activités informatiques et services d'information";"Trimestrielle"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
