"Libellé";"Indice des salaires mensuels de base - Activités informatiques et services d'information (NAF rév. 2, niveau A38 JC) - Base 100 au T2 2017";"Codes"
"idBank";"010562679";""
"Dernière mise à jour";"08/12/2023 08:45";""
"Période";"";""
"2023-T3";"113.3";"A"
"2023-T2";"112.8";"A"
"2023-T1";"112.0";"A"
"2022-T4";"110.5";"A"
"2022-T3";"109.9";"A"
"2022-T2";"109.2";"A"
"2022-T1";"108.3";"A"
"2021-T4";"107.4";"A"
"2021-T3";"107.0";"A"
"2021-T2";"106.7";"A"
"2021-T1";"106.2";"A"
"2020-T4";"105.6";"A"
"2020-T3";"105.4";"A"
"2020-T2";"105.1";"A"
"2020-T1";"";"O"
"2019-T4";"104.2";"A"
"2019-T3";"103.9";"A"
"2019-T2";"103.5";"A"
"2019-T1";"103.1";"A"
"2018-T4";"102.1";"A"
"2018-T3";"101.7";"A"
"2018-T2";"101.5";"A"
"2018-T1";"101.1";"A"
"2017-T4";"100.5";"A"
"2017-T3";"100.3";"A"
"2017-T2";"100.0";"A"
